country,player_name,role
Nepal ,Karan KC,Allrounder

Nepal ,Kushal Malla,Batting Allrounder

Nepal ,Anil Sah,Batting Allrounder

Nepal ,Sompal Kami,Bowling Allrounder

Nepal ,Pratis GC,Bowling Allrounder

Nepal ,Kamal Airee,Bowler

Nepal ,Abinash Bohara,Bowler

Nepal ,Sagar Dhakal,Bowler

Nepal ,Gulsan Jha,Bowler

Nepal ,Sandeep Lamichhane,Bowler

Nepal ,Lalit Rajbanshi,Bowler



Netherlands ,Scott Edwards,Wicketkeeper Batter

Netherlands ,Wesley Barresi,Batter

Netherlands ,Michael Levitt,Top order Batter

Netherlands ,Max O'Dowd,Opening Batter

Netherlands ,Vikramjit Singh,Opening Batter

Netherlands ,Bas de Leede,Batting Allrounder

Netherlands ,Sybrand Engelbrecht,Allrounder

Netherlands ,Teja Nidamanuru,Allrounder

Netherlands ,Tim Pringle,Allrounder

Netherlands ,Saqib Zulfiqar,Bowling Allrounder

Netherlands ,Aryan Dutt,Bowler

Netherlands ,Vivian Kingma,Bowler

Netherlands ,Kyle Klein,Bowler

Netherlands ,Logan van Beek,Bowler

Netherlands ,Paul van Meekeren,Bowler

Netherlands ,Daniel Doram,Bowler

Netherlands ,Fred Klaassen,Bowler


New Zealand ,Kane Williamson,Top order Batter

New Zealand ,Finn Allen,Top order Batter

New Zealand ,Devon Conway,Wicketkeeper Batter

New Zealand ,Michael Bracewell,Batting Allrounder

New Zealand ,Mark Chapman,Allrounder

New Zealand ,Daryl Mitchell,Batting Allrounder

New Zealand ,James Neesham,Batting Allrounder

New Zealand ,Glenn Phillips,Allrounder

New Zealand ,Rachin Ravindra,Batting Allrounder

New Zealand ,Mitchell Santner,Bowling Allrounder

New Zealand ,Trent Boult,Bowler

New Zealand ,Lockie Ferguson,Bowler

New Zealand ,Matt Henry,Bowler

New Zealand ,Ish Sodhi,Bowler

New Zealand ,Tim Southee,Bowler


Oman ,Aqib Ilyas,Top order Batter

Oman ,Pratik Athavale,Wicketkeeper Batter

Oman ,Khalid Kail,Middle order Batter

Oman ,Mehran Khan,Batter

Oman ,Naseem Khushi,Wicketkeeper

Oman ,Kashyap Prajapati,Top order Batter

Oman ,Shoaib Khan,Batter

Oman ,Zeeshan Maqsood,Opening Batter

Oman ,Ayaan Khan,Allrounder

Oman ,Mohammad Nadeem,Allrounder

Oman ,Bilal Khan,Bowler

Oman ,Fayyaz Butt,Bowler

Oman ,Kaleemullah,Bowler

Oman ,Rafiullah,Bowler

Oman ,Shakeel Ahmed,Bowler


Pakistan ,Babar Azam,Batter

Pakistan ,Azam Khan,Wicketkeeper Batter

Pakistan ,Fakhar Zaman,Opening Batter

Pakistan ,Iftikhar Ahmed,Middle order Batter

Pakistan ,Mohammad Rizwan,Wicketkeeper Batter

Pakistan ,Saim Ayub,Top order Batter

Pakistan ,Usman Khan,Top order Batter

Pakistan ,Imad Wasim,Allrounder

Pakistan ,Shadab Khan,Allrounder

Pakistan ,Abbas Afridi,Bowler

Pakistan ,Abrar Ahmed,Bowler

Pakistan ,Haris Rauf,Bowler

Pakistan ,Mohammad Amir,Bowler

Pakistan ,Naseem Shah,Bowler

Pakistan ,Shaheen Shah Afridi,Bowler


Papua New Guinea ,Assad Vala,Batter

Papua New Guinea ,Sese Bau,Middle order Batter

Papua New Guinea ,Kiplin Doriga,Wicketkeeper Batter

Papua New Guinea ,Hiri Hiri,Middle order Batter

Papua New Guinea ,Lega Siaka,Opening Batter

Papua New Guinea ,Tony Ura,Opening Batter

Papua New Guinea ,Hila Vare,Batter

Papua New Guinea ,Charles Amini,Allrounder

Papua New Guinea ,Jack Gardner,Bowler

Papua New Guinea ,Semo Kamea,Bowler

Papua New Guinea ,John Kariko,Bowler

Papua New Guinea ,Kabua Morea,Bowler

Papua New Guinea ,Alei Nao,Bowler

Papua New Guinea ,Chad Soper,Bowler

Papua New Guinea ,Norman Vanua,Bowler


Scotland ,Richie Berrington,Top order Batter

Scotland ,Matthew Cross,Wicketkeeper Batter

Scotland ,Ollie Hairs,Opening Batter

Scotland ,Michael Jones,Top order Batter

Scotland ,George Munsey,Opening Batter

Scotland ,Charlie Tear,Wicketkeeper Batter

Scotland ,Michael Leask,Allrounder

Scotland ,Brandon McMullen,Batting Allrounder

Scotland ,Brad Currie,Bowler

Scotland ,Chris Greaves,Bowler

Scotland ,Jack Jarvis,Bowler

Scotland ,Safyaan Sharif,Bowler

Scotland ,Chris Sole,Bowler

Scotland ,Mark Watt,Bowler

Scotland ,Brad Wheal,Bowler



South Africa ,Aiden Markram,Opening Batter

South Africa ,Quinton de Kock,Wicketkeeper Batter

South Africa ,Reeza Hendricks,Opening Batter

South Africa ,Heinrich Klaasen,Wicketkeeper Batter

South Africa ,David Miller,Middle order Batter

South Africa ,Ryan Rickelton,Wicketkeeper Batter

South Africa ,Tristan Stubbs,Batter

South Africa ,Marco Jansen,Bowling Allrounder

South Africa ,Ottneil Baartman,Bowler

South Africa ,Gerald Coetzee,Bowler

South Africa ,Bjorn Fortuin,Bowler

South Africa ,Keshav Maharaj,Bowler

South Africa ,Anrich Nortje,Bowler

South Africa ,Kagiso Rabada,Bowler

South Africa ,Tabraiz Shamsi,Bowler


Sri Lanka ,Kusal Mendis,Wicketkeeper Batter

Sri Lanka ,Pathum Nissanka,Top order Batter

Sri Lanka ,Sadeera Samarawickrama,Wicketkeeper Batter

Sri Lanka ,Wanindu Hasaranga,Allrounder

Sri Lanka ,Charith Asalanka,Batting Allrounder

Sri Lanka ,Dhananjaya de Silva,Allrounder

Sri Lanka ,Angelo Mathews,Allrounder

Sri Lanka ,Kamindu Mendis,Allrounder

Sri Lanka ,Dasun Shanaka,Allrounder

Sri Lanka ,Dushmantha Chameera,Bowler

Sri Lanka ,Dilshan Madushanka,Bowler

Sri Lanka ,Matheesha Pathirana,Bowler

Sri Lanka ,Maheesh Theekshana,Bowler

Sri Lanka ,Nuwan Thushara,Bowler

Sri Lanka ,Dunith Wellalage,Bowler


Uganda ,Fred Achelam,Wicketkeeper Batter

Uganda ,Roger Mukasa,Batter

Uganda ,Robinson Obuya,Batter

Uganda ,Ronak Patel,Batter

Uganda ,Simon Ssesazi,Wicketkeeper Batter

Uganda ,Riazat Ali Shah,Batting Allrounder

Uganda ,Dinesh Nakrani,Allrounder

Uganda ,Frank Nsubuga,Allrounder

Uganda ,Alpesh Ramjani,Allrounder

Uganda ,Kenneth Waiswa,Allrounder

Uganda ,Brian Masaba,Bowler

Uganda ,Bilal Hassan,Bowler

Uganda ,Cosmas Kyewuta,Bowler

Uganda ,Juma Miyagi,Bowler

Uganda ,Henry Ssenyondo,Bowler



United States of America ,Monank Patel,Wicketkeeper Batter

United States of America ,Aaron Jones,Top order Batter

United States of America ,Andries Gous,Wicketkeeper

United States of America ,Nitish Kumar,Top order Batter

United States of America ,Shayan Jahangir,Batter

United States of America ,Steven Taylor,Opening Batter

United States of America ,Corey Anderson,Batting Allrounder

United States of America ,Harmeet Singh,Bowling Allrounder

United States of America ,Milind Kumar,Allrounder

United States of America ,Nisarg Patel,Allrounder

United States of America ,Shadley van Schalkwyk,Allrounder

United States of America ,Ali Khan,Bowler

United States of America ,Jasdeep Singh,Bowler

United States of America ,Nosthush Kenjige,Bowler

United States of America ,Saurabh Netravalkar,Bowler


West Indies ,Rovman Powell,Middle order Batter

West Indies ,Johnson Charles,Wicketkeeper Batter

West Indies ,Shimron Hetmyer,Top order Batter

West Indies ,Shai Hope,Wicketkeeper Batter

West Indies ,Nicholas Pooran,Wicketkeeper Batter

West Indies ,Sherfane Rutherford,Middle order Batter

West Indies ,Brandon King,Top order Batter

West Indies ,Roston Chase,Allrounder

West Indies ,Kyle Mayers,Batting Allrounder

West Indies ,Andre Russell,Allrounder

West Indies ,Romario Shepherd,Bowling Allrounder

West Indies ,Jason Holder,Bowling Allrounder

West Indies ,Alzarri Joseph,Bowler

West Indies ,Akeal Hosein,Bowler

West Indies ,Shamar Joseph,Bowler

West Indies ,Obed McCoy,Bowler

West Indies ,Gudakesh Motie,Bowler

